Topic,Material,Supplier,Price Impact (%),Timeline,Adjacent Product
Cobalt supply disruption,Cobalt,Supplier A,-14.28,Q3 2025,Cobalt
Nickel supply disruption,Nickel,Supplier B,-16.82,Q1 2025,Nickel
Nickel supply disruption,Nickel,Supplier A,-17.08,Q4 2026,Nickel
Nickel supply disruption,Nickel,Supplier B,19.03,Q2 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,-5.51,Q3 2024,Cobalt
Nickel supply disruption,Nickel,Supplier B,-1.05,Q3 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,2.65,Q4 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,17.77,Q4 2026,Nickel
Nickel supply disruption,Nickel,Supplier A,7.59,Q4 2025,Nickel
Nickel supply disruption,Nickel,Supplier A,12.46,Q2 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-16.17,Q3 2024,Cobalt
Nickel supply disruption,Nickel,Supplier A,7.06,Q3 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,9.37,Q3 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-9.64,Q4 2026,Cobalt
Nickel supply disruption,Nickel,Supplier B,4.81,Q3 2024,Nickel
Nickel supply disruption,Nickel,Supplier A,-14.93,Q3 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-9.95,Q1 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier B,5.18,Q2 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,7.61,Q1 2026,Nickel
Nickel supply disruption,Nickel,Supplier B,-15.01,Q1 2024,Nickel
Nickel supply disruption,Nickel,Supplier B,-13.17,Q1 2024,Nickel
Nickel supply disruption,Nickel,Supplier A,-14.72,Q2 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-18.78,Q2 2024,Cobalt
Nickel supply disruption,Nickel,Supplier B,-13.88,Q4 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-7.6,Q3 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,8.79,Q1 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-12.82,Q4 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-6.41,Q4 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-10.17,Q4 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-0.26,Q1 2025,Nickel
Nickel supply disruption,Nickel,Supplier B,19.96,Q2 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-19.83,Q2 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-11.37,Q2 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier A,16.26,Q1 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-6.94,Q3 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,12.08,Q3 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,19.74,Q3 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-2.03,Q2 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,7.51,Q3 2025,Cobalt
Nickel supply disruption,Nickel,Supplier B,11.45,Q1 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier B,3.99,Q3 2026,Nickel
Nickel supply disruption,Nickel,Supplier B,-15.05,Q2 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier B,8.43,Q3 2024,Cobalt
Nickel supply disruption,Nickel,Supplier B,5.53,Q2 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,4.07,Q2 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-0.36,Q2 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,11.53,Q3 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,-19.78,Q4 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-4.54,Q4 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-8.2,Q2 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-16.95,Q1 2024,Nickel
Cobalt supply disruption,Cobalt,Supplier A,2.64,Q3 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-10.11,Q3 2025,Nickel
Nickel supply disruption,Nickel,Supplier B,-15.81,Q4 2025,Cobalt
Nickel supply disruption,Nickel,Supplier A,-3.04,Q4 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,0.71,Q4 2024,Nickel
Nickel supply disruption,Nickel,Supplier B,10.64,Q4 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,13.47,Q1 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-12.19,Q1 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-17.05,Q3 2024,Cobalt
Nickel supply disruption,Nickel,Supplier A,5.47,Q2 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-2.52,Q3 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-15.14,Q2 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier B,-1.31,Q1 2026,Cobalt
Nickel supply disruption,Nickel,Supplier B,0.52,Q3 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,17.12,Q1 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-7.17,Q4 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-15.07,Q3 2025,Cobalt
Nickel supply disruption,Nickel,Supplier B,3.31,Q4 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-19.53,Q1 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,-11.72,Q2 2026,Nickel
Nickel supply disruption,Nickel,Supplier A,-15.35,Q3 2025,Nickel
Nickel supply disruption,Nickel,Supplier A,5.32,Q4 2025,Nickel
Nickel supply disruption,Nickel,Supplier B,18.76,Q4 2025,Nickel
Nickel supply disruption,Nickel,Supplier A,10.6,Q3 2024,Nickel
Nickel supply disruption,Nickel,Supplier B,10.43,Q1 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,19.39,Q3 2025,Cobalt
Cobalt supply disruption,Cobalt,Supplier B,16.54,Q2 2025,Cobalt
Nickel supply disruption,Nickel,Supplier B,3.48,Q4 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,17.76,Q3 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,16.91,Q3 2024,Cobalt
Nickel supply disruption,Nickel,Supplier A,-19.95,Q1 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-2.55,Q3 2024,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-4.42,Q1 2026,Nickel
Cobalt supply disruption,Cobalt,Supplier B,9.77,Q4 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,16.42,Q4 2026,Nickel
Nickel supply disruption,Nickel,Supplier B,-3.44,Q1 2025,Cobalt
Nickel supply disruption,Nickel,Supplier A,2.46,Q1 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,-10.19,Q1 2024,Nickel
Nickel supply disruption,Nickel,Supplier B,-4.88,Q2 2026,Nickel
Nickel supply disruption,Nickel,Supplier B,-12.8,Q1 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,-18.33,Q3 2026,Cobalt
Nickel supply disruption,Nickel,Supplier B,15.65,Q1 2025,Cobalt
Nickel supply disruption,Nickel,Supplier A,12.95,Q3 2026,Cobalt
Nickel supply disruption,Nickel,Supplier A,-12.82,Q1 2025,Nickel
Nickel supply disruption,Nickel,Supplier A,-5.93,Q1 2025,Nickel
Cobalt supply disruption,Cobalt,Supplier A,18.38,Q3 2025,Nickel
Nickel supply disruption,Nickel,Supplier B,16.35,Q1 2024,Nickel
Nickel supply disruption,Nickel,Supplier A,14.9,Q4 2026,Cobalt
Cobalt supply disruption,Cobalt,Supplier A,1.55,Q1 2025,Cobalt
